Id,Sentence,Categories,Head,Target Party,Specificity,Split
1,A Shorten Labor Government will boost Northern Territory Indigenous students’ access to education and leadership opportunities by investing in the AFL Michael Long Learning and Leadership Centre’s full-time Indigenous training facility.,Commissive-A,5,Labor,Vague,
2,"The Centre is already supporting the training and education of future Indigenous AFL stars, many of whom are from remote communities.",Assertive,3,Other,,
3,"Through Labor’s support, the Centre will also be able to house 30 students at Year 9 level for intensive academic development and nurturing of sporting talent.",Assertive,1#4,Labor,,
4,The program will further focus on the wellbeing of Indigenous students to support their continuing education and football development interstate.,Assertive,,Other,,
5,"For those who stay in the Territory, Labor support will provide for the construction of a new training facility at the Centre where they will undertake traineeships in hospitality or trades.",Commissive-O,,Labor,,
6,"The training facility will be modelled on the national award-winning Plumbing Industry Climate Action Centre (PICAC) and administered by the AFLNT, Michael Long Learning and Leadership Centre and PICAC.",Commissive-A,1,Labor,Specific,
7,"The AFL would not be the sport it is today without the outstanding achievements of Indigenous players, from trailblazers like Joe Johnson in the early 1900s to champions and role models like Graham “Polly” Farmer, Maurice Rioli, Nicky Winmar, Michael Long, Andrew McLeod and Adam Goodes.",Assertive,8,Other,,
8,We need to ensure tomorrow’s stars are provided the opportunities they need to achieve the same heights.,Assertive,9,Labor,,
9,Labor’s commitment will provide young Indigenous students the chance to further their education and build on their sporting talents in a supportive and culturally safe environment.,Assertive,1,Labor,,
10,Skilled trades change the lives of people who train in them and the communities they serve.,Assertive,11,Other,,
11,They underpin vital services which we all take for granted.,Assertive,12,Other,,
12,"Training young people in a skill they have for life means that wherever their football career might take them, they have the tools at their disposal to make a living and make a full contribution to the communities in which they live.",Assertive,14,Other,,
13,The previous federal Labor Government provided an $11 million investment to build the Centre.,Assertive-S,14,Labor,,
14,Today’s $10.7 million investment will help the Centre take the next step to strengthen and support young Indigenous Territorians.,Assertive-V,15,Labor,,
15,Labor is in a position to make this investment because we are opposing the Government's election decision to spend $50 billion on a tax cut for big business.,Assertive-V,1,Labor,,
16,"On National Sorry Day, Labor reaffirms its commitment to closing the gap on Indigenous disadvantage, including the significant gap in education outcomes between Indigenous and non-Indigenous students.",Assertive,17,Labor,,
17,Closing the Gap and achieving reconciliation demand more of us than words alone.,Assertive,18,Labor,,
18," We must be prepared to invest in opportunity, to break down barriers and to extend the First Australians a full and equal share in our nation's future.",Assertive,19,Labor,,
19,"We have a long way to go, and there is much work to be done.",Assertive,20,Labor,,
20,Innovative ideas like the Michael Long Learning and Leadership Centre give us new hope and new ideas on how to make progress.,Assertive,,Labor,,
