Id,Sentence,Categories,Target Party,Specificity,Split
1,"Labor today made a submission to the Fair Work Commission’s (FWC) Review of Penalty Rates in Modern Awards, arguing against cuts to penalty rates.",Assertive-S,Labor,,
2,"In our submission to the FWC review, Labor argues that penalty rates continue to be a fundamental part of a strong safety net for Australian workers, enabling those in low income and highly casualised industries to share in the nation’s economic prosperity.",Assertive-V,Labor,,
3,Hospitality workers are in the bottom 30 per cent of Australian income earners. ,Assertive,Other,,
4,"Along with hospitality and food services, retail has the largest proportion of low paid workers in Australia.",Assertive,Other,,
5,Women make up a disproportionate share of workers in both the retail and hospitality sectors accounting for 55 per cent of all those employed.,Assertive,Other,,
6,Mr Turnbull and his Government have made it clear they want to scrap the weekend penalty rates thousands of workers and families rely on to make ends meet.,Assertive-S,Liberal,,
7,"He has famously declared the death of the weekend and has argued for a reduction in Sunday penalty rates, calling them an historic anomaly.",Assertive-V,Liberal,,
8,"Labor understands that for these workers weekend penalty rates are not a luxury, they are what pays the bills and puts food on the table.",Assertive,Labor,,
9,Labor supports workers' weekend penalty rates and will oppose Mr Turnbull's attempts to cut them.,Commissive-A,Labor,Specific,
10,"The Abbott-Turnbull Government’s Productivity Commission review, which proposed a cut to Sunday penalty rates, was provided to the Fair Work Commission.",Assertive-S,Liberal,,
11,"By increasing disposable income, penalty rates help to increase the competitiveness of the national economy and help to reduce inequality and the gender pay gap across the Australian community.",Assertive-V,Labor,,
12,"This at a time when inequality is at a 75 year high, living standards or real national disposable income per capita has fallen since September 2013, and we are facing the slowest wages growth since the 1990s.",Assertive,Other,,
13,"If penalty rates are cut on the Abbott-Turnbull Government’s watch, Malcolm Turnbull and his Liberals are entirely to blame.",Assertive,Liberal,,
14,Labor’s submission makes clear what the community already knows – only Labor will defend workers from attacks on penalty rates.,Assertive,Labor,,
