Id,Sentence,Categories,Target Party,Specificity,Split
1,ABS data released today confirms Australians will continue to pay more for public infrastructure until law and order is brought back to Australian construction sites through the re-establishment of the Australian Building and Construction Commission.,Assertive-V,Labor,,
2,The latest figures from the ABS show there are significantly more working days lost to industrial action in the building and construction sector than in all other industries.,Assertive-V,Labor,,
3,The data shows that 40 per cent of all days lost to industrial action across Australia were in the building industry.,Assertive-V,Labor,,
4,"Ever since Labor recklessly abolished the ABCC in 2012 at the behest of the CFMEU, ",Assertive-S,Labor,,1.0
5,there has been a 35% increase in days lost to industrial action in the construction sector.,Assertive-V,Labor,,
6,The building and construction industry is critical to a productive and prosperous Australia and is vital for jobs and growth.,Assertive,Other,,
7,It is the nation’s third largest employer and provides employment for more than one million Australians.,Assertive,Other,,
8,"When the ABCC was in operation, the economic performance and productivity of the sector improved.",Assertive-V,Liberal,,
9,"In the years before the ABCC was established in 2005, the industrial dispute rate in the construction sector was five times the ‘all industries’ average.",Assertive-V,Liberal,,
10,"During the operation of the ABCC, from 2005 to 2012, the rate of disputes in the construction industry dropped to twice the ‘all industries’ average.",Assertive-V,Liberal,,
11,"The data released by the ABS today shows that after the abolition of the ABCC, the rate of disputes in the construction industry has risen back to five times the ‘all industries’ average.",Assertive-V,Labor,,
12,"When more and more days are lost to industrial action, this makes every new hospital, school, road or public transport project more expensive.",Assertive-V,Labor,,
13,"When it comes to ensuring jobs and growth in this sector, and returning law and order to the sector, the Coalition has been stymied at every turn by the Labor Party.",Assertive,Labor,,
14,The reason why is very clear.,Assertive,Labor,,
15,"Labor is reliant on the donations of the CFMEU, who have donated $14 million to the Labor Party since 1995.",Assertive-V,Labor,,
16,"In recent times, there have been over 100 representatives of the CFMEU before the courts around Australia.",Assertive-V,Labor,,
17,"Over the past 12 months, the highest ranking officials of the CFMEU have been before the Courts facing hundreds of allegations of breaking workplace laws, including State Presidents, Vice Presidents, State Secretaries, and Assistant State Secretaries.",Assertive-V,Labor,,
18,Australia cannot afford to have a building and construction industry that is mired by wildcat strikes and unlawful conduct.,Assertive,Labor,,
19,We need to bring back the ABCC to ensure our construction sector fires on all cylinders.,Assertive,Liberal,,
20,"Australians deserve a Government that can stand up to militant unions and stamp out unproductive practices that only make building schools, hospitals and public infrastructure more expensive.",Assertive,Other,,
21,"The CFMEU has the measure of Bill Shorten – CFMEU Bill will do whatever they tell him to do, no matter what the cost to the Australian people.",Assertive,Labor,,
22,Bill Shorten is simply too weak to stand up for Australians and too weak to stand up to militant unions.,Assertive,Labor,,
