Id,Sentence,Categories,Target Party,Specificity,Split
1,"Thank you, thank you very much.",Expressive,Other,,
2,Thank you all.,Expressive,Other,,
3,Thank you so much.,Expressive,Other,,
4,"Thank you Craig, thanks mate, thank you for your very warm welcome to Reid.",Expressive,Other,,
5,Thank you Barnaby.,Expressive,Other,,
6,Deputy Prime Minister Barnaby Joyce you are a great Coalition colleague and around the Cabinet table a powerful advocate as we have heard today for regional Australia and your electorate of New England.,Assertive,Other,,
7,"Deputy Leader Foreign Minister, friend of so many years, Julie Bishop - thank you for your extraordinary tireless dedication to our cause.",Expressive,Other,,
8,Thank you for the way you make us proud every time you stand up as our Foreign Minister in the councils of the world.,Expressive,Other,,
9,Nobody has travelled more miles or visited more electorates in the course of this election than you.,Assertive,Other,,
10,You are the most tireless advocate for our great cause.,Assertive,Other,,
11,"All my Cabinet and Parliamentary colleagues and candidates, Premier Mike Baird and our State colleagues, Tony Nutt and the hard working campaign team, thank you.",Expressive,Other,,
12,Thank you.,Expressive,Other,,
13,"As I thank Lucy and our family, for their support today and throughout this long campaign.",Expressive,Other,,
14,I welcome today my distinguished predecessors John Howard and his wife Jeanette and Tony Abbott with his wife Margie.,Expressive,Other,,
15,John you set the gold standard leading the most successful and effective Government; your reforms set Australia up for the longest period of prosperity in our history.,Assertive,Other,,
16,Tony you brought to an end the chaos and dysfunction of the Rudd-Gillard-Rudd years and you remain a powerful and dedicated advocate too for our great cause.,Assertive,Other,,
17,John and Tony we salute you.,Expressive,Other,,
18,"Now my fellow Australians, at this election my Coalition team presents a clear economic plan to secure Australia’s future.",Assertive-V,Liberal,,
19,"We know and Australians know, that the pace and scale of economic change is unprecedented in all of human history.",Assertive,Other,,
20,"Our opportunities have never been greater but challenges, risks and uncertainty abound.",Assertive,Other,,
21,There has never been a more exciting time to be an Australian.,Expressive,Other,,
22,"But only if your optimism and confidence is matched with a clear- eyed understanding of what makes the economy work, what makes businesses invest and hire, and an ability to see the world as it is, not how you would like it to be.",Assertive,Other,,
23,"This is a time which demands stable majority Government, experienced economic leadership and a national economic plan which will deliver stronger growth and more jobs.",Assertive,Other,,
24,A national economic plan which recognises the nature and the tenor of our times - both the opportunities and the challenges - and gives us the resilience we need to succeed.,Assertive,Other,,
25,"Only the Liberal National Coalition can deliver that plan, that security, that leadership.",Assertive-V,Liberal,,
